N,representation_type,execution_time,conflict_rate
4,tuple,0.000001,1.00
4,array,0.000002,1.00
4,vector,0.000001,0.99
4,perm,0.000001,0.91
8,tuple,0.000001,1.00
8,array,0.000004,1.00
8,vector,0.000001,1.00
8,perm,0.000001,1.00
16,tuple,0.000001,1.00
16,array,0.000012,1.00
16,vector,0.000001,1.00
16,perm,0.000002,1.00
32,tuple,0.000002,1.00
32,array,0.000037,1.00
32,vector,0.000002,1.00
32,perm,0.000003,1.00
64,tuple,0.000003,1.00
64,array,0.000139,1.00
64,vector,0.000004,1.00
64,perm,0.000005,1.00
128,tuple,0.000006,1.00
128,array,0.000514,1.00
128,vector,0.000007,1.00
128,perm,0.000010,1.00
