N,representation,algorithm,solution,open_count,closed_count,time
4,vector,BFS,"[1, 3, 0, 2]",1,15,0.00010
4,vector,DFS,"[2, 0, 3, 1]",2,8,0.00008
4,tuple,BFS,"[(0, 1), (1, 3), (2, 0), (3, 2)]",1,15,0.00010
4,tuple,DFS,"[(0, 2), (1, 0), (2, 3), (3, 1)]",2,8,0.00006
5,vector,BFS,"[0, 2, 4, 1, 3]",9,44,0.00027
5,vector,DFS,"[4, 2, 0, 3, 1]",6,5,0.00006
5,tuple,BFS,"[(0, 0), (1, 2), (2, 4), (3, 1), (4, 3)]",9,44,0.00083
5,tuple,DFS,"[(0, 4), (1, 2), (2, 0), (3, 3), (4, 1)]",6,5,0.00005
6,vector,BFS,"[1, 3, 5, 0, 2, 4]",3,149,0.00145
6,vector,DFS,"[4, 2, 0, 5, 3, 1]",8,31,0.00050
6,tuple,BFS,"[(0, 1), (1, 3), (2, 5), (3, 0), (4, 2), (5, 4)]",3,149,0.00340
6,tuple,DFS,"[(0, 4), (1, 2), (2, 0), (3, 5), (4, 3), (5, 1)]",8,31,0.00072
7,vector,BFS,"[0, 2, 4, 6, 1, 3, 5]",39,512,0.00644
7,vector,DFS,"[6, 4, 2, 0, 5, 3, 1]",13,9,0.00013
7,tuple,BFS,"[(0, 0), (1, 2), (2, 4), (3, 6), (4, 1), (5, 3), (6, 5)]",39,512,0.01136
7,tuple,DFS,"[(0, 6), (1, 4), (2, 2), (3, 0), (4, 5), (5, 3), (6, 1)]",13,9,0.00027
8,vector,BFS,"[0, 4, 7, 5, 2, 6, 1, 3]",91,1965,0.03822
8,vector,DFS,"[7, 3, 0, 2, 5, 1, 6, 4]",11,113,0.00257
8,tuple,BFS,"[(0, 0), (1, 4), (2, 7), (3, 5), (4, 2), (5, 6), (6, 1), (7, 3)]",91,1965,0.04155
8,tuple,DFS,"[(0, 7), (1, 3), (2, 0), (3, 2), (4, 5), (5, 1), (6, 6), (7, 4)]",11,113,0.00283
9,vector,BFS,"[0, 2, 5, 7, 1, 3, 8, 6, 4]",351,8042,0.18023
9,vector,DFS,"[8, 6, 3, 1, 7, 5, 0, 2, 4]",19,41,0.00072
9,tuple,BFS,"[(0, 0), (1, 2), (2, 5), (3, 7), (4, 1), (5, 3), (6, 8), (7, 6), (8, 4)]",351,8042,0.20442
9,tuple,DFS,"[(0, 8), (1, 6), (2, 3), (3, 1), (4, 7), (5, 5), (6, 0), (7, 2), (8, 4)]",19,41,0.00088
10,vector,BFS,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",723,34815,1.12133
10,vector,DFS,"[9, 7, 4, 2, 0, 5, 1, 8, 6, 3]",22,102,0.00259
10,tuple,BFS,"[(0, 0), (1, 2), (2, 5), (3, 7), (4, 9), (5, 4), (6, 8), (7, 1), (8, 3), (9, 6)]",723,34815,1.33452
10,tuple,DFS,"[(0, 9), (1, 7), (2, 4), (3, 2), (4, 0), (5, 5), (6, 1), (7, 8), (8, 6), (9, 3)]",22,102,0.00293
