N, representation, heuristic, solution_found, open_count, closed_count, time
1,tuple,none,1,0,1,8.999995770864189e-06
1,tuple,none,1,0,1,7.208000170066953e-06
1,tuple,H1-,1,0,1,1.1500000255182385e-05
1,tuple,H1+,1,0,1,5.333000444807112e-06
1,vector,none,1,0,1,3.374996595084667e-06
1,vector,none,1,0,1,2.125001628883183e-06
1,vector,H1-,1,0,1,3.8330035749822855e-06
1,vector,H1+,1,0,1,2.792003215290606e-06
2,tuple,none,0,0,3,1.812499249354005e-05
2,tuple,none,0,0,3,8.458999218419194e-06
2,tuple,H1-,0,0,7,2.6875000912696123e-05
2,tuple,H1+,0,0,7,2.1500003640539944e-05
2,vector,none,0,0,3,9.208990377373993e-06
2,vector,none,0,0,3,5.20898902323097e-06
2,vector,H1-,0,0,7,2.2124993847683072e-05
2,vector,H1+,0,0,7,1.720899308566004e-05
3,tuple,none,0,0,6,2.837499778252095e-05
3,tuple,none,0,0,6,1.6125006368383765e-05
3,tuple,H1-,0,0,40,0.0004575420025503263
3,tuple,H1+,0,0,40,0.0003880840085912496
3,vector,none,0,0,6,2.2833002731204033e-05
3,vector,none,0,0,6,1.2541990145109594e-05
3,vector,H1-,0,0,40,0.0003859160060528666
3,vector,H1+,0,0,40,0.0003195000026607886
4,tuple,none,1,1,15,7.208299939520657e-05
4,tuple,none,1,2,8,3.1333998776972294e-05
4,tuple,H1-,1,45,15,0.00035349999961908907
4,tuple,H1+,1,25,27,0.0005712080019293353
4,vector,none,1,1,15,6.579200271517038e-05
4,vector,none,1,2,8,3.104099596384913e-05
4,vector,H1-,1,45,15,0.00026008299028035253
4,vector,H1+,1,25,27,0.0004946670087520033
5,tuple,none,1,9,44,0.0002630420058267191
5,tuple,none,1,6,5,3.095800639130175e-05
5,tuple,H1-,1,176,44,0.0037943750066915527
5,tuple,H1+,1,20,5,7.96670065028593e-05
5,vector,none,1,9,44,0.00020112500351388007
5,vector,none,1,6,5,2.73340119747445e-05
5,vector,H1-,1,176,44,0.003237540993723087
5,vector,H1+,1,20,5,5.8457997511141e-05
6,tuple,none,1,3,149,0.0012747500004479662
6,tuple,none,1,8,31,0.00022462500783149153
6,tuple,H1-,1,745,149,0.05822070800059009
6,tuple,H1+,1,1237,2171,2.559914416007814
6,vector,none,1,3,149,0.0006914170080563053
6,vector,none,1,8,31,0.00013779199798591435
6,vector,H1-,1,745,149,0.04326516699802596
6,vector,H1+,1,1237,2171,2.1956000000063796
7,tuple,none,1,39,512,0.005736291001085192
7,tuple,none,1,13,9,8.833399624563754e-05
7,tuple,H1-,1,3072,512,0.8910135000041919
7,tuple,H1+,1,64,20,0.0010140410013264045
7,vector,none,1,39,512,0.003235625001252629
7,vector,none,1,13,9,5.754099402111024e-05
7,vector,H1-,1,3072,512,0.7755675420048647
7,vector,H1+,1,64,20,0.0008921669941628352
8,tuple,none,1,91,1965,0.02956750000885222
8,tuple,none,1,11,113,0.0012526659993454814
8,tuple,H1-,1,13755,1965,19.442957292005303
7,tuple,none,1,39,512,0.003926833989680745
7,tuple,none,1,13,9,7.150000601541251e-05
7,tuple,H1-,1,3072,512,0.8827920839976287
7,tuple,H1+,1,64,20,0.0010153750044992194
7,vector,none,1,39,512,0.00892466701043304
7,vector,none,1,13,9,0.0001307079946855083
7,vector,H1-,1,3072,512,0.8141048749967013
7,vector,H1+,1,64,20,0.0009215829923050478
